0,0,0,14.74,1.25
0,0,1,35.63,10.5
0,0,2,14.82,0.59
0,0,3,16.44,0.24
0,0,4,6.13,5.26
0,0,5,37.26,-15.54
0,0,6,30.85,-12.07
0,0,7,30.77,-11.77
0,0,8,23.88,-4.65
0,0,9,27.59,-12.27
0,0,10,23.86,-4.6
0,0,11,20.95,2.5
0,0,12,25.37,-1.42
0,0,13,27.97,-12.31
0,0,14,23.92,-4.63
0,0,15,20.4,2.4
0,0,16,26.07,2.71
0,0,17,24.01,-4.6
0,0,18,22.8,-5.11
0,0,19,23.97,-4.62
0,0,20,31.98,12.27
0,0,21,25.45,-1.42
0,0,22,22.53,2.58
0,0,23,27.65,2.84
0,0,24,28.22,-12.59
0,0,25,24.02,-4.67
0,0,26,30.68,-11.88
0,0,27,25.41,-1.52
0,0,28,27.24,2.44
0,0,29,27.26,2.45
0,0,30,24.99,2.93
0,0,31,31.63,3.96
0,0,32,23.89,-4.66
0,0,33,20.53,0.58
0,0,34,35.74,3.66
0,0,35,24.2,-4.25
0,0,36,19.78,-0.36
0,0,37,30.67,-11.95
0,0,38,18.28,-0.24
0,0,39,22.82,-5.07
0,0,40,23.18,-2.65
0,0,41,13.76,0.8
0,0,42,28.15,-12.4
0,0,43,27.24,0.79
0,0,44,14.75,1.55
0,0,45,21.51,1.7
0,0,46,30.53,-11.6
0,0,47,25.32,-1.46
0,0,48,24.31,-4.29
0,0,49,24.36,-5.46
0,0,50,26.87,-11.11
0,0,51,12.6,8.74
0,0,52,9.17,2.93
0,0,53,8.1,4.17
0,0,54,8.29,3.18
0,0,55,27.14,-9.75
0,0,56,31.4,-5.9
0,0,57,27.48,-7.36
0,0,58,25.03,-5.82
0,0,59,25.12,-1.27
0,0,60,20.28,-7.66
0,0,61,35.66,-10.19
0,0,62,5.63,3.69
0,0,63,32.71,-10.07
0,0,64,17.8,-3.14
0,0,65,29.05,-3.33
0,0,66,31.09,-7.71
0,0,67,4.69,3.25
0,0,68,31.55,-8.38
0,0,69,28.68,-10.08
0,0,70,34.47,-5.28
0,0,71,34.54,-5.26
0,0,72,28.05,-2.52
0,1,0,14.801,1.184
0,1,1,35.63,10.5
0,1,2,14.82,0.59
0,1,3,16.44,0.24
0,1,4,6.13,5.26
0,1,5,37.26,-15.54
0,1,6,30.85,-12.07
0,1,7,30.77,-11.77
0,1,8,23.88,-4.65
0,1,9,27.59,-12.27
0,1,10,23.86,-4.6
0,1,11,20.95,2.5
0,1,12,25.37,-1.42
0,1,13,27.97,-12.31
0,1,14,23.92,-4.63
0,1,15,20.4,2.4
0,1,16,26.07,2.71
0,1,17,24.01,-4.6
0,1,18,22.8,-5.11
0,1,19,23.97,-4.62
0,1,20,31.98,12.27
0,1,21,25.45,-1.42
0,1,22,22.53,2.58
0,1,23,27.65,2.84
0,1,24,28.22,-12.59
0,1,25,24.02,-4.67
0,1,26,30.68,-11.88
0,1,27,25.41,-1.52
0,1,28,27.24,2.44
0,1,29,27.26,2.45
0,1,30,24.99,2.93
0,1,31,31.63,3.96
0,1,32,23.89,-4.66
0,1,33,20.53,0.58
0,1,34,35.74,3.66
0,1,35,24.2,-4.25
0,1,36,19.78,-0.36
0,1,37,30.67,-11.95
0,1,38,18.28,-0.24
0,1,39,22.82,-5.07
0,1,40,23.18,-2.65
0,1,41,13.76,0.8
0,1,42,28.15,-12.4
0,1,43,27.24,0.79
0,1,44,14.75,1.55
0,1,45,21.51,1.7
0,1,46,30.53,-11.6
0,1,47,25.32,-1.46
0,1,48,24.31,-4.29
