,ID,timestamp,x,y,vx,vy,rgb_conf,lidar_conf,t_index,YOLO_cls,rgb_LLR,lidar_LLR,L,T,R,B,X_LiDAR,Y_LiDAR,Z_LiDAR,l,w,h,rot
0,22,7501.000,25.520,-1.410,0.000,0.000,0.714,0.792,1,0,1.516,1.147,677.000,190.000,712.000,265.000,25.520,-1.410,-1.160,1.860,0.600,1.920,-0.811
1,23,7501.000,28.130,-12.530,0.000,0.000,0.640,0.354,1,0,0.341,-0.607,1182.000,173.000,1219.000,270.000,28.130,-12.530,-1.290,0.730,0.640,1.710,-0.900
2,25,7501.000,16.610,-0.380,0.000,0.000,0.552,0.770,1,0,1.348,1.957,634.000,206.000,678.000,346.000,16.610,-0.380,-1.260,1.060,0.510,1.830,2.795
3,26,7501.000,23.150,-2.690,0.000,0.000,0.543,0.050,1,0,0.901,-1.189,759.000,200.000,809.000,290.000,23.150,-2.690,-1.320,0.750,0.650,1.790,-0.570
4,27,7501.000,22.820,-5.070,0.000,0.000,0.499,0.886,1,0,0.572,2.467,909.000,201.000,935.000,274.000,22.820,-5.070,-1.130,0.330,0.440,1.720,2.220
5,32,7501.000,16.760,0.100,0.000,0.000,0.322,0.805,1,0,-0.197,2.241,592.000,219.000,628.000,348.000,16.760,0.100,-1.370,0.800,0.470,1.710,-0.137
6,22,7502.000,25.473,-1.389,-0.019,0.002,0.662,0.287,2,0,1.190,-0.444,676.000,190.000,714.000,278.000,25.440,-1.370,-1.160,1.910,0.600,1.890,-0.006
7,23,7502.000,28.174,-12.540,0.007,-0.006,0.660,0.145,2,0,0.470,-1.132,1182.000,172.000,1219.000,270.000,28.210,-12.540,-1.060,0.710,0.700,1.860,0.184
8,25,7502.000,16.504,-0.378,-0.047,-0.006,0.794,0.137,2,0,4.191,-0.545,633.000,207.000,677.000,346.000,16.450,-0.380,-1.250,0.740,0.470,1.720,2.590
9,26,7502.000,23.191,-2.651,0.003,0.009,0.511,0.105,2,0,0.653,-0.853,759.000,199.000,809.000,293.000,23.220,-2.620,-1.240,0.790,0.610,1.760,-0.390
10,27,7502.000,22.800,-5.084,-0.001,0.002,0.008,0.402,2,0,-2.769,-0.075,905.000,209.000,936.000,305.000,22.780,-5.080,-1.130,0.340,0.450,1.720,2.393
11,32,7502.000,16.652,0.117,-0.035,0.009,0.370,0.047,2,0,0.023,-1.007,592.000,215.000,628.000,348.000,16.590,0.140,-1.250,0.720,0.470,1.690,-3.162
12,45,7502.000,13.760,0.800,0.000,0.000,0.750,0.135,2,0,3.277,-0.542,519.000,203.000,575.000,377.000,13.760,0.800,-1.220,0.970,0.530,1.820,-0.189
13,55,7502.000,25.400,-1.360,0.000,0.000,NaN,0.758,2,0,-3.015,1.172,674.000,188.000,712.000,291.000,25.400,-1.360,-1.160,0.870,0.620,1.880,0.024
14,22,7503.000,25.461,-1.426,-0.016,-0.016,0.575,NaN,3,0,1.046,-1.326,676.000,190.000,717.000,276.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,23,7503.000,28.237,-12.463,0.034,0.028,0.641,NaN,3,0,1.595,-1.326,1183.000,174.000,1219.000,270.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,25,7503.000,16.469,-0.385,-0.040,-0.006,0.862,NaN,3,0,4.285,-1.326,628.000,207.000,675.000,347.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,26,7503.000,23.174,-2.733,-0.009,-0.025,0.398,NaN,3,0,-0.215,-1.309,759.000,199.000,809.000,296.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,27,7503.000,22.786,-5.168,-0.009,-0.032,0.038,NaN,3,0,-1.732,-1.303,910.000,200.000,936.000,326.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,32,7503.000,16.613,0.134,-0.033,0.014,0.801,NaN,3,0,3.988,-1.326,591.000,216.000,629.000,348.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,45,7503.000,13.759,0.807,-0.002,0.004,0.505,NaN,3,0,0.799,-1.301,513.000,202.000,572.000,377.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,55,7503.000,25.405,-1.367,0.002,0.000,NaN,NaN,3,0,3.261,-1.325,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,22,7504.000,25.461,-1.388,-0.000,0.002,NaN,0.424,4,0,-3.016,-0.197,646.000,191.000,735.000,293.000,25.430,-1.340,-1.190,1.990,0.630,1.830,-0.671
