,ID,timestamp,x,y,vx,vy,rgb_conf,lidar_conf,t_index,YOLO_cls,rgb_LLR,lidar_LLR,L,T,R,B,X_LiDAR,Y_LiDAR,Z_LiDAR,l,w,h,rot
0,39,2258.000,31.720,-11.020,0.000,0.000,0.038,0.583,8,0,-3.861,-0.423,1070.000,173.000,1102.000,269.000,31.720,-11.020,-1.260,0.780,0.570,1.700,-0.118
1,39,2259.000,31.703,-11.043,-0.004,-0.015,0.636,NaN,9,0,1.407,-1.324,1071.000,202.000,1093.000,269.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,39,2260.000,31.659,-11.017,-0.002,0.001,0.035,0.756,10,0,-3.864,0.299,1070.000,171.000,1102.000,269.000,31.680,-10.990,-1.310,0.710,0.710,1.650,-0.545
3,39,2261.000,31.717,-11.012,0.015,0.004,0.705,0.203,11,0,-0.070,-1.353,1070.000,203.000,1092.000,269.000,31.770,-11.020,-1.230,0.800,0.610,1.710,-0.458
4,39,2262.000,31.707,-11.036,0.008,-0.003,0.715,NaN,12,0,2.280,-1.324,1071.000,203.000,1092.000,269.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,39,2263.000,31.714,-11.038,0.006,-0.003,0.716,NaN,13,0,2.434,-1.325,1071.000,203.000,1092.000,269.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,39,2264.000,31.756,-11.043,0.012,-0.003,0.443,0.034,14,0,-1.660,-1.968,1071.000,202.000,1091.000,269.000,31.740,-10.980,-1.110,0.690,0.730,1.730,0.114
7,54,2264.000,30.220,-11.930,0.000,0.000,0.621,0.075,14,0,-0.217,-1.500,1129.000,194.000,1153.000,273.000,30.220,-11.930,-0.940,0.790,0.480,1.740,2.476
8,56,2264.000,30.280,-11.970,0.000,0.000,0.127,0.020,14,0,-2.700,-1.817,1130.000,193.000,1169.000,274.000,30.280,-11.970,-1.030,1.640,0.550,1.750,2.515
9,39,2265.000,31.750,-11.041,0.010,-0.003,0.564,NaN,15,0,0.715,-1.325,1072.000,203.000,1090.000,269.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,54,2265.000,30.231,-11.891,0.009,0.009,0.656,NaN,15,0,1.613,-1.325,1129.000,194.000,1152.000,273.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,56,2265.000,30.276,-11.978,-0.007,-0.001,NaN,NaN,15,0,-2.636,-1.325,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,39,2266.000,31.714,-11.025,0.000,0.003,0.591,0.015,16,0,-0.793,-1.987,1071.000,203.000,1090.000,269.000,31.660,-10.980,-1.010,0.760,0.650,1.660,0.882
13,54,2266.000,30.217,-11.891,-0.003,0.005,0.661,NaN,16,0,1.613,-1.325,1130.000,193.000,1153.000,273.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,56,2266.000,30.231,-12.063,-0.018,-0.022,0.091,NaN,16,0,-1.678,-1.325,1131.000,193.000,1169.000,274.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,39,2267.000,31.713,-11.008,-0.000,0.009,0.612,NaN,17,0,1.112,-1.325,1070.000,203.000,1090.000,269.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,54,2267.000,30.196,-11.879,-0.009,0.007,0.644,NaN,17,0,1.407,-1.325,1130.000,193.000,1153.000,273.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,56,2267.000,30.295,-12.028,0.004,0.003,0.112,0.334,17,0,-2.797,-0.861,1132.000,193.000,1168.000,274.000,30.340,-11.930,-1.230,0.980,0.600,1.810,-0.139
18,39,2268.000,31.719,-11.003,0.002,0.007,0.626,NaN,18,0,1.305,-1.324,1070.000,202.000,1090.000,269.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,54,2268.000,30.161,-11.874,-0.017,0.005,0.683,NaN,18,0,2.039,-1.325,1130.000,193.000,1154.000,274.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,56,2268.000,30.281,-12.068,-0.001,-0.009,0.073,NaN,18,0,-1.819,-1.325,1132.000,193.000,1169.000,274.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,39,2269.000,31.694,-10.988,-0.003,0.010,0.535,0.651,19,0,-1.146,-0.236,1071.000,202.000,1090.000,269.000,31.670,-11.000,-1.320,0.790,0.680,1.620,0.025
22,54,2269.000,30.222,-11.898,-0.002,-0.000,0.659,NaN,19,0,1.803,-1.325,1130.000,193.000,1154.000,274.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,56,2269.000,30.004,-12.005,-0.066,0.007,0.064,0.011,19,0,-3.228,-1.829,1132.000,193.000,1170.000,274.000,29.830,-11.970,-1.210,0.770,0.570,1.790,-1.211
24,39,2270.000,31.684,-10.989,-0.005,0.006,0.623,NaN,20,0,1.205,-1.323,1071.000,203.000,1090.000,269.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,54,2270.000,30.210,-11.889,-0.002,-0.000,0.710,NaN,20,0,2.462,-1.325,1130.000,193.000,1153.000,274.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26,56,2270.000,29.939,-12.015,-0.065,0.002,0.038,NaN,20,0,-2.182,-1.324,1135.000,193.000,1170.000,275.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,39,2271.000,31.689,-10.997,-0.003,0.003,0.652,NaN,21,0,1.509,-1.324,1071.000,203.000,1090.000,269.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,54,2271.000,30.225,-11.895,-0.000,-0.002,0.704,NaN,21,0,2.128,-1.325,1130.000,193.000,1153.000,273.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,56,2271.000,29.768,-12.172,-0.090,-0.038,0.028,NaN,21,0,-2.811,-1.324,1156.000,197.000,1172.000,250.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,39,2272.000,31.709,-10.995,-0.001,0.004,0.655,0.103,22,0,-0.411,-1.646,1071.000,203.000,1090.000,269.000,31.720,-10.970,-1.100,0.690,0.780,1.750,0.494
31,54,2272.000,30.242,-11.898,-0.001,-0.001,0.667,NaN,22,0,1.724,-1.325,1130.000,193.000,1152.000,273.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,56,2272.000,29.682,-12.221,-0.090,-0.042,0.033,NaN,22,0,-2.808,-1.323,1157.000,195.000,1175.000,252.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,39,2273.000,31.691,-11.021,-0.008,-0.006,0.573,NaN,23,0,0.787,-1.323,1072.000,204.000,1092.000,269.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,54,2273.000,30.210,-11.889,-0.006,-0.001,0.659,NaN,23,0,1.613,-1.325,1130.000,194.000,1152.000,273.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,56,2273.000,29.540,-12.279,-0.102,-0.051,0.608,NaN,23,0,0.895,-1.324,1164.000,199.000,1180.000,254.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,39,2274.000,31.676,-11.030,-0.010,-0.009,0.557,NaN,24,0,0.715,-1.325,1072.000,203.000,1092.000,269.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
