,ID,timestamp,x,y,vx,vy,rgb_conf,lidar_conf,t_index,YOLO_cls,rgb_LLR,lidar_LLR,L,T,R,B,X_LiDAR,Y_LiDAR,Z_LiDAR,l,w,h,rot
0,32,7.000,22.550,0.640,0.000,0.000,NaN,0.677,7,0,-2.730,0.939,552.000,194.000,614.000,303.000,22.550,0.640,-1.220,0.940,0.490,1.760,-2.229
1,32,8.000,22.550,0.297,0.002,-0.128,0.763,NaN,8,0,3.236,-1.276,596.000,199.000,645.000,289.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,32,9.000,22.488,0.463,-0.018,-0.015,NaN,0.185,9,0,-2.745,-0.546,569.000,197.000,602.000,303.000,22.440,0.600,-1.250,0.880,0.520,1.710,0.057
3,32,10.000,22.470,0.448,-0.018,-0.015,NaN,NaN,10,0,-2.604,-1.302,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,32,11.000,22.385,0.101,-0.045,-0.111,0.801,NaN,11,0,4.010,-1.304,600.000,198.000,648.000,290.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,32,12.000,22.341,-0.010,-0.044,-0.110,NaN,NaN,12,0,-2.651,-1.325,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,32,13.000,22.297,-0.121,-0.044,-0.111,NaN,NaN,13,0,-2.652,-1.326,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,32,14.000,22.243,-0.120,-0.046,-0.088,0.039,NaN,14,0,-2.701,-1.327,608.000,198.000,649.000,251.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,45,14.000,22.330,0.560,0.000,0.000,0.699,0.533,14,0,2.389,0.495,607.000,198.000,650.000,287.000,22.330,0.560,-1.260,0.870,0.540,1.740,-2.432
9,32,15.000,22.197,-0.208,-0.045,-0.088,NaN,NaN,15,0,-2.653,-1.327,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,45,15.000,22.324,0.553,-0.002,-0.002,NaN,NaN,15,0,-2.577,-1.288,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,32,16.000,22.153,-0.296,-0.044,-0.088,NaN,NaN,16,0,-2.654,-1.327,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,45,16.000,22.323,0.551,-0.001,-0.002,NaN,NaN,16,0,-2.575,-1.288,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,32,17.000,22.210,-0.259,-0.031,-0.066,0.754,NaN,17,0,3.065,-1.327,610.000,198.000,656.000,292.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,45,17.000,22.320,0.549,-0.003,-0.002,NaN,NaN,17,0,-1.466,-1.290,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,32,18.000,22.180,-0.326,-0.030,-0.067,NaN,NaN,18,0,-2.654,-1.327,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,45,18.000,22.317,0.546,-0.003,-0.003,NaN,NaN,18,0,-2.581,-1.290,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,32,19.000,22.152,-0.393,-0.028,-0.068,NaN,NaN,19,0,-2.654,-1.327,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,45,19.000,22.314,0.543,-0.002,-0.002,NaN,NaN,19,0,-2.581,-1.290,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,32,20.000,22.191,-0.322,-0.022,-0.042,0.438,NaN,20,0,0.021,-1.327,615.000,200.000,658.000,289.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,45,20.000,21.315,2.664,-0.156,0.343,0.285,NaN,20,0,-0.996,-1.290,444.000,194.000,463.000,245.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,32,21.000,22.170,-0.362,-0.020,-0.040,NaN,NaN,21,0,-2.654,-1.327,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,45,21.000,21.159,3.008,-0.156,0.344,NaN,NaN,21,0,-2.499,-1.250,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,32,22.000,22.149,-0.401,-0.021,-0.039,NaN,NaN,22,0,-2.654,-1.327,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24,45,22.000,21.004,3.352,-0.156,0.344,NaN,NaN,22,0,-0.000,-0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,32,23.000,22.084,-0.350,-0.020,-0.023,0.681,NaN,23,0,2.039,-1.327,617.000,199.000,662.000,284.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
