,ID,timestamp,x,y,vx,vy,rgb_conf,lidar_conf,frame_index,YOLO_cls,L,T,R,B,X_LiDAR,Y_LiDAR,Z_LiDAR,l,w,h,rot
36,3,1733.000,30.191,-5.485,-0.086,0.142,NaN,NaN,5,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,5,1733.000,8.379,-7.682,-0.347,-0.035,NaN,NaN,5,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,6,1733.000,34.422,-10.455,-0.049,0.193,0.120,NaN,5,0,1013.000,196.000,1028.000,222.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39,7,1733.000,39.187,-15.880,-0.087,0.115,0.621,0.197,5,0,1138.000,190.000,1162.000,234.000,39.180,-15.820,-1.070,1.870,0.550,1.740,2.274
40,0,1735.000,32.742,-7.056,-0.079,0.140,0.742,0.209,6,0,895.000,192.000,925.000,264.000,32.830,-7.060,-0.880,0.800,0.750,1.740,2.151
41,1,1735.000,27.051,-3.943,0.227,-0.190,0.419,0.230,6,0,801.000,192.000,835.000,261.000,27.040,-3.980,-1.190,1.750,0.570,1.940,-0.921
42,2,1735.000,31.411,-9.977,0.206,-0.255,0.456,0.411,6,0,1035.000,197.000,1054.000,252.000,31.400,-9.940,-1.080,0.570,0.410,1.810,-0.866
43,3,1735.000,30.111,-5.345,-0.080,0.140,NaN,NaN,6,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44,5,1735.000,8.031,-7.719,-0.347,-0.037,NaN,NaN,6,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45,6,1735.000,34.321,-10.208,-0.071,0.230,0.142,NaN,6,0,1005.000,198.000,1025.000,233.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46,7,1735.000,38.993,-15.739,-0.135,0.125,0.699,NaN,6,0,1135.000,190.000,1158.000,244.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
47,0,1736.000,32.678,-6.879,-0.065,0.161,0.780,NaN,7,0,888.000,193.000,924.000,265.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
48,1,1736.000,27.203,-4.415,0.190,-0.305,0.218,NaN,7,0,832.000,193.000,856.000,232.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49,2,1736.000,31.620,-10.241,0.209,-0.264,NaN,NaN,7,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,3,1736.000,30.031,-5.201,-0.080,0.144,NaN,NaN,7,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,5,1736.000,7.681,-7.760,-0.350,-0.041,NaN,NaN,7,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,6,1736.000,34.248,-9.994,-0.073,0.219,0.567,NaN,7,0,1001.000,199.000,1021.000,249.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,7,1736.000,38.806,-15.521,-0.157,0.180,0.649,NaN,7,0,1135.000,190.000,1155.000,240.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
54,9,1736.000,26.882,-3.841,0.000,0.000,0.693,NaN,7,0,807.000,192.000,842.000,262.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,0,1738.000,32.607,-6.711,-0.064,0.167,0.706,0.848,8,0,889.000,193.000,915.000,261.000,32.620,-6.720,-1.130,0.830,0.490,1.790,2.245
56,1,1738.000,27.409,-4.579,0.205,-0.241,0.735,0.855,8,0,815.000,192.000,853.000,268.000,27.390,-4.420,-1.190,1.860,0.590,2.020,-0.995
57,2,1738.000,31.834,-10.374,0.219,-0.211,0.476,0.061,8,0,1051.000,193.000,1084.000,256.000,31.830,-10.320,-1.290,0.920,0.440,1.730,2.253
58,3,1738.000,29.428,-4.724,-0.232,0.228,0.115,NaN,8,0,836.000,198.000,848.000,221.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
59,5,1738.000,7.334,-7.805,-0.348,-0.045,NaN,NaN,8,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60,6,1738.000,34.206,-9.638,-0.072,0.269,0.570,0.281,8,0,987.000,197.000,1012.000,247.000,34.200,-9.540,-1.220,1.800,0.550,1.820,1.754
61,7,1738.000,38.818,-15.054,-0.078,0.259,0.612,NaN,8,0,1125.000,190.000,1149.000,240.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
62,9,1738.000,26.885,-3.869,0.013,-0.016,NaN,NaN,8,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
63,10,1738.000,22.340,2.330,0.000,0.000,0.867,0.087,8,0,454.000,194.000,498.000,304.000,22.340,2.330,-1.260,1.850,0.570,2.030,-0.432
64,0,1739.000,32.573,-6.583,-0.047,0.150,0.576,0.600,9,0,888.000,193.000,910.000,249.000,32.590,-6.610,-0.910,0.690,0.660,1.650,0.152
65,1,1739.000,27.809,-4.592,0.276,-0.170,0.739,0.357,9,0,816.000,190.000,853.000,262.000,29.110,-4.340,-1.160,1.720,0.600,1.790,-0.876
66,2,1739.000,32.034,-10.535,0.208,-0.181,0.401,NaN,9,0,1057.000,198.000,1088.000,260.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
67,3,1739.000,29.152,-4.441,-0.257,0.259,0.155,NaN,9,0,816.000,193.000,831.000,221.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
