17,0,0,299.4,123.5
17,0,1,299.7,113.5
17,1,0,297.7,138.4
17,1,1,298.4,133.5
17,2,0,294.4,153.0
17,2,1,294.4,153.0
17,3,0,289.8,167.3
17,3,1,287.9,171.9
17,4,0,283.7,181.0
17,4,1,278.9,189.8
17,5,0,276.3,194.0
17,5,1,267.6,206.3
17,6,0,267.6,206.3
17,6,1,254.4,221.2
17,7,0,257.8,217.6
17,7,1,239.6,234.8
17,8,0,246.8,227.8
17,8,1,223.2,246.7
17,9,0,235.0,237.0
17,9,1,205.1,256.0
17,10,0,222.2,244.9
17,10,1,185.7,262.2
17,11,0,208.7,251.4
17,11,1,165.6,265.7
17,12,0,194.7,256.6
17,12,1,145.3,266.5
17,13,0,180.2,260.4
17,13,1,125.0,264.5
17,14,0,165.3,262.7
17,14,1,105.2,259.7
17,15,0,150.4,263.5
17,15,1,86.5,251.8
17,16,0,135.4,262.8
17,16,1,69.2,241.2
17,17,0,120.6,260.7
17,17,1,53.5,228.8
17,18,0,106.0,257.0
17,18,1,39.1,214.8
17,19,0,91.9,251.9
17,19,1,26.6,199.2
17,20,0,78.4,245.5
17,20,1,16.3,182.1
17,21,0,65.6,237.7
17,21,1,8.4,163.8
17,22,0,53.6,228.6
17,22,1,3.0,144.5
17,23,0,42.6,218.5
17,23,1,0.2,124.7
17,24,0,32.6,207.2
17,24,1,0.0,104.8
17,25,0,23.9,195.1
17,25,1,2.5,84.9
17,26,0,16.3,182.1
17,26,1,7.6,65.6
17,27,0,10.2,168.5
17,27,1,15.2,47.1
17,28,0,5.4,154.2
17,28,1,25.2,29.8
17,29,0,2.0,139.6
17,29,1,37.5,14.0
17,30,0,0.2,124.7
17,30,1,51.7,0.0
