,ID,timestamp,x,y,vx,vy,rgb_conf,lidar_conf,t_index,YOLO_cls,rgb_LLR,lidar_LLR,L,T,R,B,X_LiDAR,Y_LiDAR,Z_LiDAR,l,w,h,rot
0,0,6750.000,14.740,1.250,0.000,0.000,0.893,0.985,0,0,4.394,2.197,479.000,190.000,539.000,368.000,14.740,1.250,-1.110,0.890,0.600,1.810,-0.391
1,0,6751.000,14.801,1.184,0.036,-0.039,0.854,0.984,1,0,4.394,2.197,481.000,190.000,539.000,367.000,14.840,1.160,-1.050,0.870,0.560,1.670,-0.302
2,5,6751.000,35.630,10.500,0.000,0.000,0.628,0.645,1,0,-1.363,-0.640,212.000,202.000,232.000,263.000,35.630,10.500,-1.220,0.700,0.670,1.600,-1.039
3,6,6751.000,14.820,0.590,0.000,0.000,0.454,0.014,1,0,0.456,-1.094,541.000,207.000,588.000,260.000,14.820,0.590,-1.240,0.770,0.610,1.770,-0.199
4,0,6752.000,14.831,1.176,0.031,-0.022,0.762,NaN,2,0,3.133,-1.327,485.000,194.000,543.000,365.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,5,6752.000,35.612,10.667,-0.008,0.041,0.766,NaN,2,0,3.021,-1.246,210.000,202.000,230.000,261.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,6,6752.000,14.814,0.593,-0.004,0.004,NaN,NaN,2,0,-2.701,-1.206,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,0,6753.000,14.954,1.135,0.059,-0.025,0.860,0.997,3,0,4.394,2.197,488.000,183.000,550.000,365.000,15.000,1.110,-1.100,0.920,0.590,1.770,-0.241
8,5,6753.000,35.635,10.668,0.004,0.012,0.761,0.012,3,0,-0.168,-2.272,209.000,202.000,228.000,267.000,35.680,10.590,-1.180,0.690,0.680,1.730,-0.811
9,6,6753.000,14.805,0.506,-0.009,-0.031,0.058,NaN,3,0,-1.064,-1.205,554.000,205.000,601.000,389.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,0,6754.000,15.048,1.049,0.075,-0.044,0.882,0.864,4,0,4.394,2.197,494.000,188.000,554.000,362.000,15.060,1.040,-1.060,1.010,0.600,1.870,-0.245
11,5,6754.000,35.663,10.662,0.015,0.002,0.726,0.592,4,0,-0.472,-0.802,207.000,202.000,228.000,266.000,35.680,10.660,-1.200,0.730,0.680,1.710,-1.836
12,6,6754.000,14.952,0.447,0.036,-0.043,0.033,0.087,4,0,-2.054,-0.647,556.000,207.000,605.000,332.000,14.980,0.450,-1.160,0.730,0.670,1.770,-0.191
13,0,6755.000,15.132,0.996,0.078,-0.046,0.786,NaN,5,0,3.591,-1.323,506.000,185.000,560.000,358.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,5,6755.000,35.660,10.773,0.011,0.037,0.761,NaN,5,0,3.077,-1.286,205.000,202.000,228.000,267.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,6,6755.000,14.985,0.395,0.034,-0.044,0.185,NaN,5,0,-0.811,-1.258,561.000,203.000,611.000,330.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,0,6756.000,15.233,0.940,0.081,-0.047,0.805,0.980,6,0,4.244,2.197,510.000,184.000,563.000,356.000,15.230,0.950,-1.060,0.820,0.540,1.760,-0.165
17,5,6756.000,35.739,10.805,0.027,0.035,0.787,0.699,6,0,-0.006,-0.458,204.000,203.000,228.000,267.000,35.770,10.810,-1.220,0.890,0.690,1.770,1.917
18,6,6756.000,15.113,0.348,0.058,-0.042,0.412,0.587,6,0,0.223,0.736,563.000,203.000,611.000,337.000,15.140,0.380,-1.200,0.740,0.580,1.820,-0.249
19,0,6757.000,15.315,0.900,0.081,-0.044,0.646,NaN,7,0,1.927,-1.312,515.000,183.000,568.000,317.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,5,6757.000,35.767,10.884,0.027,0.046,0.623,NaN,7,0,1.205,-1.292,199.000,201.000,228.000,267.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,6,6757.000,15.282,0.296,0.089,-0.047,0.281,0.014,7,0,-0.323,-1.182,568.000,204.000,616.000,361.000,15.380,0.300,-1.200,0.740,0.470,1.930,-0.180
22,0,6758.000,15.398,0.857,0.080,-0.043,0.049,NaN,8,0,-1.613,-1.305,519.000,186.000,574.000,319.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,5,6758.000,35.799,10.950,0.026,0.050,0.395,NaN,8,0,-0.373,-1.290,199.000,201.000,225.000,265.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24,6,6758.000,15.371,0.257,0.090,-0.044,0.836,NaN,8,0,4.132,-1.314,573.000,206.000,623.000,357.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,0,6759.000,15.471,0.836,0.077,-0.037,0.782,0.430,9,0,3.927,0.170,525.000,187.000,578.000,264.000,15.470,0.840,-1.110,0.760,0.580,1.800,0.304
26,5,6759.000,35.928,11.041,0.044,0.056,0.572,0.108,9,0,-1.746,-2.002,194.000,202.000,213.000,266.000,35.920,11.090,-1.110,1.750,0.650,1.700,-3.292
27,6,6759.000,15.329,0.245,0.054,-0.035,0.817,0.285,9,0,4.394,-0.163,579.000,206.000,625.000,357.000,15.280,0.250,-1.250,0.650,0.540,1.850,2.567
28,0,6760.000,15.548,0.798,0.077,-0.038,NaN,NaN,10,0,-2.101,-1.277,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,5,6760.000,35.959,11.156,0.043,0.069,0.638,NaN,10,0,1.407,-1.284,193.000,202.000,216.000,266.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,6,6760.000,15.418,0.173,0.064,-0.046,0.812,0.284,10,0,4.344,-0.164,581.000,206.000,627.000,356.000,15.460,0.130,-1.160,0.840,0.600,1.670,-0.339
31,0,6761.000,15.624,0.760,0.076,-0.038,NaN,NaN,11,0,-1.589,-1.248,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,5,6761.000,35.979,11.270,0.039,0.081,0.722,NaN,11,0,2.434,-1.281,189.000,202.000,212.000,266.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,6,6761.000,15.479,0.132,0.064,-0.045,0.716,NaN,11,0,2.721,-1.324,587.000,204.000,632.000,357.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,0,6762.000,15.751,0.735,0.088,-0.037,NaN,0.168,12,0,-2.293,-0.415,497.000,175.000,616.000,348.000,15.760,0.720,-1.090,1.840,0.570,1.870,-0.446
35,5,6762.000,36.007,11.381,0.037,0.089,0.748,NaN,12,0,2.906,-1.268,183.000,202.000,211.000,266.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,6,6762.000,15.536,0.101,0.061,-0.044,0.803,0.701,12,0,4.330,1.366,591.000,203.000,636.000,357.000,15.530,0.120,-1.260,0.880,0.440,1.890,-0.404
37,0,6763.000,15.867,0.700,0.094,-0.037,0.766,0.797,13,0,3.840,2.165,540.000,187.000,590.000,258.000,15.890,0.680,-1.100,0.830,0.580,1.870,0.482
38,5,6763.000,36.037,11.462,0.036,0.088,0.744,NaN,13,0,2.746,-1.271,182.000,203.000,212.000,267.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39,6,6763.000,15.619,0.057,0.066,-0.045,0.828,0.779,13,0,4.450,2.010,593.000,203.000,638.000,356.000,15.640,0.060,-1.230,0.810,0.510,1.860,-0.653
40,0,6764.000,15.954,0.984,0.105,0.059,0.152,NaN,14,0,-1.913,-1.220,536.000,206.000,542.000,218.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41,5,6764.000,36.064,11.552,0.035,0.088,0.766,NaN,14,0,3.261,-1.286,177.000,203.000,209.000,266.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42,6,6764.000,15.686,0.026,0.067,-0.040,0.838,NaN,14,0,4.132,-1.327,594.000,203.000,640.000,357.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43,0,6765.000,16.057,1.003,0.103,0.036,0.100,0.072,15,0,-1.372,-0.813,549.000,190.000,595.000,254.000,16.030,0.550,-1.010,0.830,0.560,1.870,-0.507
44,5,6765.000,36.099,11.639,0.035,0.086,NaN,NaN,15,0,-1.748,-1.299,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45,6,6765.000,15.745,-0.026,0.067,-0.043,0.831,0.710,15,0,4.450,1.433,595.000,204.000,646.000,356.000,15.750,-0.050,-1.190,0.870,0.540,1.670,-0.394
46,0,6766.000,16.202,0.953,0.111,-0.001,0.388,0.229,16,0,0.123,-0.297,551.000,190.000,598.000,282.000,16.210,0.560,-1.010,0.780,0.620,1.880,0.173
47,5,6766.000,36.120,11.793,0.027,0.099,0.643,NaN,16,0,1.407,-1.306,175.000,203.000,194.000,265.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
48,6,6766.000,15.825,-0.069,0.070,-0.042,0.839,0.987,16,0,4.450,2.225,597.000,205.000,648.000,355.000,15.840,-0.060,-1.250,0.980,0.560,1.910,2.558
49,0,6767.000,16.317,0.910,0.115,-0.024,0.134,NaN,17,0,-1.114,-1.306,555.000,185.000,601.000,325.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,5,6767.000,36.156,11.880,0.030,0.094,0.673,NaN,17,0,1.724,-1.319,173.000,202.000,193.000,267.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,6,6767.000,15.896,-0.094,0.070,-0.036,0.867,NaN,17,0,4.137,-1.327,599.000,205.000,653.000,355.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,0,6768.000,16.189,0.791,0.091,-0.064,0.495,0.956,18,0,0.745,2.225,561.000,189.000,621.000,345.000,16.180,0.380,-1.110,0.930,0.540,1.840,-0.694
53,5,6768.000,36.184,11.995,0.028,0.098,0.705,NaN,18,0,2.280,-1.318,167.000,202.000,188.000,268.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
54,6,6768.000,15.980,-0.133,0.076,-0.037,0.844,0.991,18,0,4.450,2.225,604.000,204.000,657.000,352.000,15.990,-0.140,-1.230,0.940,0.690,1.870,-0.547
55,0,6769.000,16.260,0.690,0.091,-0.084,0.740,0.756,19,0,3.333,1.832,563.000,189.000,624.000,343.000,16.330,0.370,-1.120,0.840,0.610,1.860,-0.654
56,5,6769.000,36.203,12.087,0.025,0.097,0.743,NaN,19,0,2.746,-1.314,163.000,202.000,188.000,267.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
57,6,6769.000,16.081,-0.186,0.080,-0.043,0.866,0.896,19,0,4.450,2.225,607.000,204.000,659.000,351.000,16.110,-0.200,-1.210,0.910,0.490,1.890,-0.451
58,0,6770.000,16.376,0.567,0.081,-0.104,0.879,NaN,20,0,4.137,-1.225,569.000,190.000,630.000,344.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
59,5,6770.000,36.272,12.159,0.032,0.088,0.769,NaN,20,0,3.261,-1.298,163.000,203.000,188.000,268.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60,6,6770.000,16.162,-0.228,0.081,-0.043,0.862,NaN,20,0,4.137,-1.327,615.000,203.000,664.000,350.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
61,0,6771.000,16.480,0.404,0.070,-0.128,NaN,0.521,21,0,-2.276,0.487,527.000,177.000,662.000,335.000,16.490,0.300,-1.070,1.860,0.510,1.800,-0.730
62,5,6771.000,36.137,12.180,0.021,0.080,0.762,0.252,21,0,-0.167,-1.593,159.000,205.000,187.000,268.000,36.130,12.030,-1.270,0.960,0.450,1.860,-1.805
63,6,6771.000,16.280,-0.275,0.086,-0.045,0.885,0.798,21,0,4.450,2.165,623.000,202.000,669.000,351.000,16.310,-0.290,-1.210,0.840,0.540,1.890,-0.323
64,43,6771.000,16.440,0.240,0.000,0.000,0.871,0.856,21,0,4.450,2.225,574.000,188.000,629.000,344.000,16.440,0.240,-1.080,0.840,0.620,1.770,3.149
65,0,6772.000,16.578,0.251,0.075,-0.140,NaN,0.015,22,0,-2.466,-1.198,560.000,173.000,654.000,332.000,16.640,0.200,-1.030,1.670,0.510,1.830,0.434
66,5,6772.000,36.178,12.237,0.024,0.073,0.627,NaN,22,0,1.305,-1.235,156.000,204.000,186.000,268.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
67,6,6772.000,16.363,-0.311,0.086,-0.042,0.885,0.718,22,0,4.450,1.507,624.000,203.000,671.000,350.000,16.350,-0.310,-1.220,1.040,0.530,1.910,2.673
68,43,6772.000,16.554,0.203,0.061,-0.023,0.807,0.896,22,0,4.482,2.248,577.000,193.000,627.000,339.000,16.630,0.170,-1.080,0.940,0.590,1.830,-0.979
69,0,6773.000,16.656,0.131,0.075,-0.133,0.841,NaN,23,0,3.973,-1.321,583.000,184.000,632.000,345.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70,5,6773.000,36.202,12.305,0.025,0.072,0.535,NaN,23,0,0.339,-1.182,151.000,204.000,183.000,264.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
71,6,6773.000,16.451,-0.362,0.088,-0.044,0.869,NaN,23,0,4.137,-1.327,629.000,204.000,676.000,350.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
72,43,6773.000,16.615,0.180,0.061,-0.023,NaN,NaN,23,0,-2.648,-1.324,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
73,0,6774.000,16.720,0.014,0.072,-0.127,NaN,0.020,24,0,-2.516,-1.222,572.000,172.000,667.000,340.000,16.710,0.050,-1.070,1.710,0.530,1.950,0.418
74,5,6774.000,36.206,12.403,0.022,0.079,0.572,NaN,24,0,0.573,-0.963,148.000,203.000,175.000,261.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75,6,6774.000,16.456,-0.396,0.070,-0.038,0.876,0.301,24,0,4.450,-0.131,632.000,205.000,677.000,349.000,16.390,-0.370,-1.250,0.810,0.430,1.780,2.563
76,43,6774.000,16.727,0.141,0.080,-0.028,0.873,0.957,24,0,4.496,2.248,587.000,184.000,637.000,345.000,16.730,0.150,-1.070,0.890,0.640,1.960,-0.266
77,0,6775.000,16.790,-0.112,0.070,-0.127,NaN,NaN,25,0,-3.100,-1.327,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
78,5,6775.000,36.243,12.460,0.024,0.075,0.266,NaN,25,0,-0.600,-0.715,153.000,204.000,173.000,262.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
79,6,6775.000,16.558,-0.462,0.078,-0.048,0.882,0.887,25,0,4.496,2.248,634.000,205.000,680.000,350.000,16.590,-0.500,-1.200,0.790,0.640,1.790,-0.652
80,43,6775.000,16.845,0.081,0.091,-0.039,0.884,0.998,25,0,4.496,2.248,589.000,184.000,639.000,345.000,16.850,0.060,-1.080,0.900,0.610,1.770,-0.605
81,0,6776.000,16.860,-0.240,0.069,-0.127,NaN,NaN,26,0,-1.835,-1.327,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
82,5,6776.000,36.247,12.594,0.018,0.091,0.374,NaN,26,0,-0.346,-0.641,143.000,202.000,165.000,256.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
83,6,6776.000,16.636,-0.511,0.078,-0.049,0.822,NaN,26,0,4.052,-1.325,639.000,204.000,685.000,347.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
84,43,6776.000,16.945,0.031,0.092,-0.046,0.879,NaN,26,0,4.137,-1.327,594.000,185.000,644.000,345.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
85,0,6777.000,16.836,-0.450,0.047,-0.145,0.804,0.013,27,0,4.403,-1.248,645.000,202.000,689.000,343.000,16.830,-0.490,-1.220,1.340,0.390,1.900,0.074
86,5,6777.000,36.270,12.672,0.017,0.088,0.425,NaN,27,0,-0.149,-0.709,142.000,205.000,170.000,266.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
87,6,6777.000,16.711,-0.534,0.078,-0.040,NaN,0.576,27,0,-2.514,0.777,622.000,189.000,701.000,343.000,16.720,-0.510,-1.200,1.130,0.530,1.820,2.661
88,43,6777.000,16.998,-0.029,0.078,-0.050,NaN,0.973,27,0,-2.518,2.248,581.000,175.000,664.000,334.000,16.960,-0.020,-1.080,0.860,0.630,1.910,-0.700
