,ID,timestamp,x,y,vx,vy,rgb_conf,lidar_conf,t_index,YOLO_cls,rgb_LLR,lidar_LLR,L,T,R,B,X_LiDAR,Y_LiDAR,Z_LiDAR,l,w,h,rot
0,0,1500.000,29.080,-11.620,0.000,0.000,0.764,0.476,0,0,1.256,-0.373,1133.000,198.000,1159.000,275.000,29.080,-11.620,-1.130,0.800,0.490,1.800,2.487
1,0,1501.000,29.109,-11.565,0.003,0.014,0.750,NaN,1,0,2.906,-1.325,1133.000,197.000,1159.000,275.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,0,1502.000,29.087,-11.584,-0.008,-0.002,0.746,0.280,2,0,1.189,-0.831,1133.000,197.000,1159.000,275.000,29.060,-11.660,-1.230,0.840,0.580,1.640,-0.100
3,0,1503.000,29.087,-11.549,-0.004,0.010,0.741,NaN,3,0,2.746,-1.325,1133.000,197.000,1159.000,275.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,0,1504.000,29.072,-11.532,-0.008,0.011,0.737,NaN,4,0,2.746,-1.325,1133.000,197.000,1158.000,275.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,0,1505.000,29.175,-11.593,0.014,-0.006,0.735,0.017,5,0,1.111,-1.740,1132.000,197.000,1158.000,275.000,29.170,-11.670,-1.110,0.770,0.710,1.640,-0.405
6,0,1506.000,29.188,-11.578,0.014,0.001,0.716,NaN,6,0,2.434,-1.325,1132.000,198.000,1158.000,275.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,0,1507.000,29.190,-11.564,0.012,0.002,0.722,NaN,7,0,2.434,-1.325,1132.000,198.000,1158.000,275.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,0,1508.000,29.129,-11.547,0.002,0.002,0.738,0.680,8,0,1.111,0.198,1132.000,197.000,1158.000,275.000,29.080,-11.600,-1.150,0.750,0.730,1.750,1.644
9,0,1509.000,29.149,-11.544,0.008,0.000,0.721,NaN,9,0,2.434,-1.325,1132.000,197.000,1157.000,275.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,0,1510.000,29.152,-11.549,0.007,-0.001,0.725,NaN,10,0,2.590,-1.325,1133.000,197.000,1157.000,275.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
