,ID,timestamp,x,y,vx,vy,rgb_conf,lidar_conf,t_index,YOLO_cls,rgb_LLR,lidar_LLR,L,T,R,B,X_LiDAR,Y_LiDAR,Z_LiDAR,l,w,h,rot
0,0,4500.000,27.180,-2.690,0.000,0.000,0.755,0.011,0,0,1.698,-1.483,734.000,197.000,774.000,268.000,27.180,-2.690,-1.190,1.780,0.570,1.870,-1.276
1,0,4501.000,27.175,-2.690,-0.005,0.005,0.790,0.938,1,0,1.992,6.369,735.000,194.000,775.000,268.000,27.170,-2.690,-1.170,1.730,0.600,1.860,-1.201
2,0,4502.000,27.167,-2.736,-0.005,-0.016,0.782,NaN,2,0,3.460,-1.216,738.000,195.000,777.000,264.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,0,4503.000,27.205,-2.772,0.009,-0.023,0.784,0.846,3,0,1.904,1.613,740.000,194.000,780.000,267.000,27.230,-2.800,-1.150,2.030,0.550,1.880,-1.195
4,0,4504.000,27.193,-2.830,0.002,-0.031,0.660,0.163,4,0,0.704,-0.882,747.000,200.000,782.000,269.000,27.210,-2.860,-1.250,1.820,0.620,1.840,-1.224
5,0,4505.000,27.206,-2.912,0.003,-0.045,0.775,NaN,5,0,3.460,-1.198,746.000,200.000,787.000,270.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,0,4506.000,27.247,-2.972,0.008,-0.050,0.795,0.998,6,0,1.992,6.369,751.000,195.000,789.000,270.000,27.300,-2.990,-1.150,1.720,0.550,1.870,-1.168
7,0,4507.000,27.315,-3.101,0.017,-0.068,0.779,0.506,7,0,1.904,-0.078,754.000,193.000,794.000,268.000,27.380,-3.240,-1.170,1.740,0.620,1.920,-1.149
8,0,4508.000,27.330,-3.188,0.016,-0.073,0.789,NaN,8,0,3.665,-1.279,758.000,193.000,797.000,268.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,0,4509.000,27.380,-3.306,0.022,-0.084,0.808,1.000,9,0,2.259,6.369,768.000,193.000,804.000,273.000,27.440,-3.370,-1.110,1.850,0.590,1.780,-1.186
10,0,4510.000,27.395,-3.418,0.019,-0.094,0.811,NaN,10,0,4.175,-1.299,771.000,192.000,807.000,273.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,0,4511.000,27.397,-3.556,0.014,-0.106,0.830,NaN,11,0,4.413,-1.309,777.000,192.000,816.000,274.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,0,4512.000,27.548,-3.708,0.041,-0.113,0.844,1.000,12,0,2.682,7.239,784.000,192.000,825.000,275.000,27.660,-3.780,-1.140,1.740,0.560,1.860,-1.164
13,0,4513.000,27.704,-3.862,0.063,-0.118,0.800,1.000,13,0,1.827,7.239,786.000,186.000,829.000,274.000,27.810,-3.910,-1.160,1.760,0.590,1.800,-1.166
14,0,4514.000,27.767,-4.000,0.064,-0.122,0.825,NaN,14,0,4.311,-1.319,793.000,184.000,836.000,270.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,0,4515.000,27.861,-4.104,0.073,-0.116,0.802,0.996,15,0,1.827,7.239,800.000,191.000,841.000,271.000,27.870,-4.070,-1.180,1.850,0.570,1.880,-1.071
