,ID,timestamp,x,y,vx,vy,rgb_conf,lidar_conf,t_index,YOLO_cls,rgb_LLR,lidar_LLR,L,T,R,B,X_LiDAR,Y_LiDAR,Z_LiDAR,l,w,h,rot
0,6,8251.000,22.590,1.780,0.000,0.000,0.830,0.996,1,0,3.816,2.467,492.000,208.000,543.000,311.000,22.590,1.780,-1.280,1.850,0.510,1.900,-0.783
1,7,8251.000,27.550,-4.310,0.000,0.000,0.797,0.989,1,0,1.827,7.239,814.000,197.000,853.000,257.000,27.550,-4.310,-1.200,1.960,0.620,1.860,-0.789
2,10,8251.000,25.550,-5.720,0.000,0.000,0.713,0.796,1,0,1.516,1.208,904.000,200.000,934.000,272.000,25.550,-5.720,-1.210,0.850,0.650,1.740,-1.074
3,6,8252.000,22.623,1.715,0.014,-0.025,0.138,0.993,2,0,-1.522,2.467,551.000,193.000,564.000,216.000,22.650,1.670,-1.380,1.800,0.560,1.880,-0.828
4,7,8252.000,27.613,-4.394,0.028,-0.020,0.650,0.954,2,0,0.403,7.239,818.000,196.000,853.000,253.000,27.660,-4.450,-1.140,1.890,0.640,1.830,-0.839
5,10,8252.000,25.586,-5.784,0.011,-0.017,0.236,0.950,2,0,-1.327,4.938,905.000,202.000,933.000,272.000,25.620,-5.820,-1.250,0.670,0.850,1.520,-0.809
6,13,8252.000,26.850,-2.750,0.000,0.000,0.034,0.539,2,0,-2.829,0.016,787.000,199.000,795.000,211.000,26.850,-2.750,-1.170,1.890,0.580,1.910,-0.753
7,6,8253.000,22.632,1.702,0.013,-0.018,0.856,NaN,3,0,4.411,-1.327,496.000,207.000,546.000,311.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,7,8253.000,27.647,-4.463,0.035,-0.032,0.623,NaN,3,0,1.205,-1.325,821.000,197.000,855.000,258.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,10,8253.000,25.606,-5.882,0.021,-0.045,0.734,NaN,3,0,2.756,-1.319,915.000,199.000,940.000,286.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,13,8253.000,26.844,-2.797,-0.004,-0.014,0.732,NaN,3,0,2.590,-1.195,741.000,191.000,782.000,262.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,6,8254.000,22.686,1.659,0.031,-0.028,0.015,1.000,4,0,-2.821,2.467,547.000,199.000,565.000,217.000,22.690,1.650,-1.330,1.850,0.560,1.890,-0.839
12,7,8254.000,27.637,-4.456,0.023,-0.013,0.548,0.690,4,0,-0.136,0.367,824.000,196.000,855.000,256.000,27.630,-4.460,-1.160,0.860,0.610,1.770,-0.338
13,10,8254.000,25.659,-5.914,0.026,-0.038,0.752,0.888,4,0,1.976,2.777,915.000,197.000,944.000,285.000,25.710,-5.910,-1.170,0.790,0.620,1.680,-0.641
14,13,8254.000,26.905,-2.845,0.025,-0.022,0.790,0.013,4,0,1.992,-1.467,744.000,192.000,784.000,264.000,26.940,-2.900,-1.230,0.800,0.620,1.770,-0.490
15,16,8254.000,25.340,-0.670,0.000,0.000,0.007,0.999,4,0,-2.982,3.500,632.000,201.000,645.000,227.000,25.340,-0.670,-1.300,1.920,0.600,2.000,-0.765
16,6,8255.000,22.736,1.622,0.036,-0.031,0.856,0.992,5,0,4.247,2.467,499.000,208.000,550.000,310.000,22.730,1.610,-1.390,1.840,0.560,1.880,-0.884
17,7,8255.000,27.775,-4.510,0.058,-0.025,0.490,0.077,5,0,-0.484,-1.316,826.000,192.000,856.000,257.000,27.820,-4.560,-1.220,1.910,0.640,1.800,-0.700
18,10,8255.000,25.720,-5.994,0.035,-0.052,0.749,0.904,5,0,1.976,3.253,918.000,198.000,950.000,287.000,25.740,-6.030,-1.200,0.850,0.590,1.770,-1.562
19,13,8255.000,26.924,-2.899,0.022,-0.033,0.790,NaN,5,0,3.665,-1.214,746.000,192.000,784.000,265.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,16,8255.000,25.355,-0.701,0.009,-0.013,0.747,0.996,5,0,2.266,3.500,639.000,203.000,673.000,287.000,25.380,-0.710,-1.390,1.850,0.610,1.830,-0.739
21,6,8256.000,22.774,1.596,0.035,-0.029,0.847,NaN,6,0,4.491,-1.326,502.000,208.000,552.000,308.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,7,8256.000,27.835,-4.608,0.053,-0.045,0.455,NaN,6,0,-0.273,-1.324,829.000,197.000,856.000,252.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,10,8256.000,25.748,-6.143,0.029,-0.081,0.802,NaN,6,0,4.010,-1.325,921.000,198.000,959.000,285.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24,13,8256.000,26.953,-2.939,0.024,-0.034,0.766,NaN,6,0,3.261,-1.229,747.000,192.000,785.000,261.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,16,8256.000,25.367,-0.758,0.008,-0.028,0.729,NaN,6,0,2.756,-1.318,641.000,201.000,684.000,285.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26,6,8257.000,22.813,1.531,0.035,-0.036,0.793,0.993,7,0,3.311,2.467,505.000,209.000,554.000,308.000,22.820,1.500,-1.350,1.850,0.560,1.790,-0.905
27,7,8257.000,27.829,-4.615,0.041,-0.035,0.026,0.026,7,0,-3.264,-1.632,830.000,187.000,880.000,271.000,27.770,-4.550,-1.190,1.800,0.530,1.810,-0.782
28,10,8257.000,25.857,-6.187,0.046,-0.069,0.837,0.997,7,0,3.180,4.938,924.000,198.000,962.000,286.000,25.880,-6.130,-1.150,0.790,0.620,1.600,-0.451
29,13,8257.000,27.012,-3.012,0.032,-0.042,0.803,0.043,7,0,2.108,-1.426,750.000,192.000,786.000,264.000,27.040,-3.030,-1.230,0.970,0.680,1.920,-0.938
30,16,8257.000,25.466,-0.783,0.031,-0.026,0.706,0.999,7,0,1.516,4.938,645.000,200.000,684.000,283.000,25.500,-0.790,-1.370,1.800,0.580,1.800,-0.787
31,6,8258.000,22.806,1.491,0.025,-0.038,0.625,0.951,8,0,1.412,2.467,506.000,209.000,555.000,306.000,22.770,1.480,-1.390,1.910,0.600,1.850,-0.865
32,7,8258.000,27.886,-4.640,0.047,-0.033,0.087,0.640,8,0,-2.533,0.170,831.000,191.000,875.000,275.000,27.900,-4.610,-1.340,0.900,0.530,1.750,-0.588
33,10,8258.000,25.911,-6.241,0.048,-0.065,0.867,0.992,8,0,4.225,4.938,925.000,200.000,963.000,287.000,25.900,-6.230,-1.230,0.960,0.560,1.820,-1.128
34,13,8258.000,27.132,-3.003,0.051,-0.028,0.757,0.023,8,0,1.766,-1.528,751.000,192.000,787.000,263.000,27.190,-2.950,-1.130,0.860,0.580,1.770,0.240
35,16,8258.000,25.499,-0.817,0.034,-0.027,0.727,0.994,8,0,2.069,3.500,646.000,202.000,689.000,282.000,25.480,-0.840,-1.360,1.790,0.600,1.820,-0.677
36,6,8259.000,22.822,1.478,0.023,-0.033,0.593,NaN,9,0,1.124,-1.323,509.000,209.000,556.000,295.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,7,8259.000,27.923,-4.729,0.042,-0.047,0.029,NaN,9,0,-2.799,-1.319,837.000,197.000,857.000,247.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,10,8259.000,25.958,-6.326,0.048,-0.068,0.838,NaN,9,0,4.474,-1.325,926.000,199.000,966.000,287.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39,13,8259.000,27.200,-3.062,0.057,-0.037,0.773,NaN,9,0,3.261,-1.264,753.000,192.000,790.000,258.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,16,8259.000,25.535,-0.871,0.034,-0.033,0.751,NaN,9,0,2.906,-1.321,649.000,202.000,690.000,280.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41,6,8260.000,22.824,1.459,0.017,-0.030,NaN,0.495,10,0,-2.829,0.249,480.000,199.000,586.000,316.000,22.800,1.480,-1.380,1.810,0.500,1.890,-0.907
42,7,8260.000,27.966,-4.790,0.042,-0.053,0.061,NaN,10,0,-2.118,-1.304,840.000,196.000,858.000,268.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43,10,8260.000,25.973,-6.334,0.042,-0.056,NaN,0.015,10,0,-3.125,-1.538,890.000,196.000,996.000,296.000,25.920,-6.260,-1.270,1.940,0.600,1.860,-1.213
44,13,8260.000,27.284,-3.074,0.059,-0.031,0.741,0.570,10,0,1.619,0.108,756.000,191.000,793.000,262.000,27.290,-3.070,-1.100,0.970,0.600,1.880,-1.006
