,ID,timestamp,x,y,vx,vy,rgb_conf,lidar_conf,t_index,YOLO_cls,rgb_LLR,lidar_LLR,L,T,R,B,X_LiDAR,Y_LiDAR,Z_LiDAR,l,w,h,rot
0,42,5317.000,25.540,-2.950,0.000,0.000,0.417,0.173,67,0,-0.575,-0.860,758.000,197.000,794.000,269.000,25.540,-2.950,-1.190,0.840,0.600,1.800,-1.406
1,42,5318.000,25.541,-2.981,0.010,-0.024,0.701,0.015,68,0,1.367,-1.524,758.000,197.000,793.000,266.000,25.550,-3.000,-1.150,0.800,0.620,1.830,-1.197
2,42,5319.000,25.552,-2.976,0.011,-0.012,0.172,NaN,69,0,-1.427,-1.312,754.000,194.000,795.000,267.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,42,5320.000,25.518,-2.969,-0.003,-0.004,0.229,0.690,70,0,-1.390,0.615,756.000,194.000,792.000,269.000,25.510,-2.950,-1.100,0.780,0.560,1.740,-1.251
4,42,5321.000,25.526,-2.971,0.004,-0.003,0.336,0.485,71,0,-0.887,-0.034,757.000,195.000,792.000,269.000,25.520,-2.960,-1.150,0.860,0.590,1.800,-1.438
5,42,5322.000,25.545,-2.938,0.011,0.007,0.459,NaN,72,0,0.166,-1.313,754.000,194.000,791.000,276.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,42,5323.000,25.593,-2.935,0.023,0.003,0.681,0.181,73,0,1.117,-0.831,756.000,194.000,791.000,274.000,25.620,-2.950,-1.200,1.870,0.560,1.810,-1.048
7,42,5324.000,25.701,-2.905,0.044,0.012,0.804,0.018,74,0,2.415,-1.526,757.000,193.000,796.000,280.000,25.810,-2.880,-1.090,1.730,0.600,1.700,-0.941
8,42,5325.000,25.736,-2.912,0.043,0.008,0.668,NaN,75,0,1.916,-1.315,756.000,193.000,789.000,275.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,42,5326.000,25.701,-2.906,0.026,0.006,0.689,0.942,76,0,1.231,4.938,755.000,193.000,788.000,279.000,25.600,-2.920,-1.190,1.890,0.600,1.820,-1.170
10,42,5327.000,25.677,-2.883,0.015,0.009,0.699,0.982,77,0,1.367,4.938,756.000,192.000,789.000,280.000,25.600,-2.890,-1.240,2.020,0.640,1.940,-1.011
11,42,5328.000,25.692,-2.906,0.014,0.001,0.753,NaN,78,0,3.065,-1.316,757.000,193.000,791.000,280.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,42,5329.000,25.634,-2.900,-0.001,-0.000,0.667,0.865,79,0,1.024,2.113,758.000,193.000,788.000,266.000,25.570,-2.910,-1.090,0.790,0.560,1.680,-0.293
13,42,5330.000,25.582,-2.891,-0.012,0.003,0.688,0.776,80,0,1.231,1.099,754.000,193.000,793.000,266.000,25.530,-2.900,-1.120,0.800,0.570,1.800,-1.289
14,42,5331.000,25.568,-2.921,-0.011,-0.003,0.695,NaN,81,0,1.982,-1.315,757.000,193.000,793.000,266.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,42,5332.000,25.523,-2.913,-0.015,-0.003,0.590,0.749,82,0,0.553,0.988,759.000,192.000,792.000,271.000,25.530,-2.890,-1.110,0.770,0.610,1.720,-0.465
16,42,5333.000,25.530,-2.942,-0.008,-0.008,0.639,0.132,83,0,0.809,-0.983,757.000,192.000,791.000,269.000,25.560,-2.980,-1.190,0.870,0.650,1.790,-1.289
17,42,5334.000,25.520,-2.961,-0.007,-0.009,0.543,NaN,84,0,0.748,-1.314,759.000,192.000,793.000,279.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,42,5335.000,25.570,-2.970,0.007,-0.008,NaN,0.917,85,0,-3.095,4.838,725.000,192.000,825.000,290.000,25.610,-2.950,-1.180,1.880,0.540,1.810,-1.106
19,42,5336.000,25.570,-2.953,0.006,-0.001,0.577,0.342,86,0,0.497,-0.444,765.000,192.000,793.000,273.000,25.550,-2.930,-1.090,0.700,0.450,1.640,-0.244
20,42,5337.000,25.575,-2.978,0.005,-0.006,0.652,NaN,87,0,1.698,-1.314,761.000,192.000,795.000,280.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,42,5338.000,25.583,-2.980,0.005,-0.006,0.664,0.597,88,0,0.944,0.304,763.000,192.000,795.000,281.000,25.590,-2.980,-1.200,1.930,0.610,1.830,-1.068
22,42,5339.000,25.589,-2.959,0.007,0.000,0.656,0.201,89,0,0.944,-0.777,761.000,192.000,795.000,280.000,25.590,-2.920,-1.160,0.760,0.590,1.680,-0.905
23,42,5340.000,25.594,-2.989,0.007,-0.008,0.679,NaN,90,0,2.039,-1.313,762.000,192.000,795.000,279.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24,42,5341.000,25.591,-2.957,0.003,0.002,0.576,0.728,91,0,0.497,0.895,761.000,192.000,793.000,283.000,25.580,-2.880,-1.150,0.890,0.560,1.830,-1.481
25,42,5342.000,25.583,-2.929,0.003,0.009,0.586,0.603,92,0,0.553,0.304,761.000,192.000,791.000,283.000,25.560,-2.880,-1.080,0.840,0.610,1.830,-1.561
26,42,5343.000,25.585,-2.953,0.003,0.002,0.618,NaN,93,0,1.393,-1.315,759.000,192.000,793.000,283.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,42,5344.000,25.580,-2.948,0.002,0.001,0.612,0.772,94,0,0.658,1.059,758.000,192.000,792.000,283.000,25.580,-2.940,-1.070,0.750,0.550,1.550,-0.095
28,42,5345.000,25.599,-2.941,0.005,0.002,0.695,0.350,95,0,1.367,-0.420,757.000,192.000,794.000,283.000,25.610,-2.910,-1.160,0.850,0.650,1.840,-1.564
29,42,5346.000,25.606,-2.956,0.006,-0.002,0.671,NaN,96,0,1.916,-1.314,757.000,192.000,794.000,283.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,42,5347.000,25.639,-2.925,0.014,0.007,0.672,0.275,97,0,1.024,-0.544,757.000,191.000,795.000,282.000,25.650,-2.860,-1.110,0.790,0.600,1.810,-0.889
31,42,5348.000,25.622,-2.900,0.006,0.012,0.649,0.967,98,0,0.873,4.938,757.000,192.000,795.000,282.000,25.570,-2.860,-1.120,0.750,0.590,1.590,-0.303
32,42,5349.000,25.632,-2.925,0.008,0.003,0.612,NaN,99,0,1.298,-1.315,757.000,192.000,794.000,281.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,42,5350.000,25.603,-2.908,0.002,0.007,0.729,0.794,100,0,1.790,1.147,756.000,192.000,794.000,284.000,25.550,-2.890,-1.160,0.860,0.610,1.760,-0.776
34,42,5351.000,25.621,-2.895,0.004,0.009,0.722,0.145,101,0,1.662,-0.922,756.000,191.000,793.000,284.000,25.630,-2.870,-1.170,0.790,0.560,1.760,-0.418
35,42,5352.000,25.620,-2.916,0.003,0.002,0.707,NaN,102,0,2.462,-1.315,756.000,192.000,794.000,283.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,42,5353.000,25.608,-2.877,-0.003,0.012,0.719,0.540,103,0,1.662,0.133,756.000,192.000,795.000,282.000,25.590,-2.840,-1.090,0.800,0.530,1.650,0.160
37,42,5354.000,25.592,-2.866,-0.006,0.011,0.714,0.469,104,0,1.516,-0.101,754.000,192.000,794.000,284.000,25.570,-2.880,-1.120,2.110,0.560,2.010,-0.856
38,42,5355.000,25.580,-2.893,-0.008,0.001,0.643,NaN,105,0,1.595,-1.316,755.000,193.000,795.000,284.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39,42,5356.000,25.657,-2.918,0.008,-0.006,0.721,0.850,106,0,1.662,1.725,755.000,192.000,795.000,284.000,25.730,-2.960,-1.240,1.910,0.560,1.860,-0.945
40,42,5357.000,25.676,-2.895,0.012,0.000,0.733,0.014,107,0,1.790,-1.543,755.000,192.000,794.000,283.000,25.700,-2.850,-1.150,0.780,0.560,1.690,-0.040
41,42,5358.000,25.689,-2.927,0.011,-0.007,0.748,NaN,108,0,3.065,-1.315,755.000,192.000,794.000,283.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42,42,5359.000,25.763,-2.959,0.023,-0.012,0.702,0.612,109,0,1.367,0.329,755.000,192.000,793.000,279.000,25.820,-2.980,-1.200,1.980,0.590,1.950,-0.997
43,42,5360.000,25.706,-2.924,0.007,-0.001,0.650,0.652,110,0,0.873,0.436,755.000,192.000,792.000,280.000,25.600,-2.840,-1.120,0.840,0.630,1.760,-1.170
44,42,5361.000,25.716,-2.945,0.008,-0.004,0.664,NaN,111,0,1.803,-1.315,754.000,192.000,794.000,280.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45,42,5362.000,25.620,-2.889,-0.013,0.011,0.723,0.948,112,0,1.662,4.938,754.000,192.000,794.000,279.000,25.540,-2.810,-1.100,0.840,0.480,1.730,-1.147
46,42,5363.000,25.603,-2.873,-0.016,0.012,0.713,0.794,113,0,1.516,1.147,754.000,192.000,787.000,280.000,25.620,-2.880,-1.030,0.800,0.550,1.590,0.186
47,42,5364.000,25.581,-2.868,-0.020,0.008,0.764,NaN,114,0,3.236,-1.316,754.000,192.000,787.000,280.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
48,42,5365.000,25.548,-2.868,-0.024,0.005,0.740,0.541,115,0,1.893,0.133,754.000,191.000,787.000,281.000,25.550,-2.880,-1.100,0.840,0.520,1.760,-1.192
49,102,5365.000,38.410,-15.310,0.000,0.000,0.776,0.014,115,0,-0.298,-2.460,1133.000,199.000,1155.000,250.000,38.410,-15.310,-1.200,0.800,0.530,1.770,0.969
50,42,5366.000,25.575,-2.878,-0.015,0.001,0.707,0.373,116,0,1.516,-0.385,755.000,191.000,786.000,281.000,25.630,-2.890,-1.010,0.870,0.570,1.740,-0.445
51,102,5366.000,38.452,-15.200,0.002,0.003,0.774,NaN,116,0,3.021,-1.321,1132.000,199.000,1154.000,252.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,42,5367.000,25.559,-2.896,-0.015,-0.005,0.640,NaN,117,0,1.595,-1.316,759.000,191.000,786.000,280.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,102,5367.000,38.474,-15.151,0.011,0.028,0.765,NaN,117,0,2.844,-1.320,1130.000,199.000,1152.000,250.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
54,42,5368.000,25.507,-2.871,-0.024,0.004,0.663,0.913,118,0,0.944,4.170,763.000,191.000,787.000,281.000,25.520,-2.800,-1.110,0.840,0.620,1.770,-1.066
55,102,5368.000,38.493,-15.112,0.017,0.034,0.684,NaN,118,0,1.609,-1.319,1129.000,199.000,1150.000,252.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
56,42,5369.000,25.506,-2.877,-0.019,0.001,0.671,0.533,119,0,1.024,0.099,752.000,191.000,786.000,281.000,25.550,-2.890,-1.100,0.760,0.570,1.660,-0.451
57,102,5369.000,38.529,-15.106,0.021,0.025,0.773,NaN,119,0,3.021,-1.316,1130.000,199.000,1150.000,251.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
58,42,5370.000,25.487,-2.882,-0.018,-0.001,0.739,NaN,120,0,2.907,-1.315,754.000,191.000,790.000,281.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
59,102,5370.000,38.571,-15.092,0.024,0.021,0.722,NaN,120,0,2.206,-1.315,1130.000,199.000,1148.000,251.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60,42,5371.000,25.581,-2.920,0.006,-0.009,0.740,0.923,121,0,1.893,4.838,754.000,192.000,790.000,279.000,25.700,-2.950,-1.250,2.010,0.590,1.910,-0.944
61,102,5371.000,38.598,-15.078,0.024,0.018,0.747,NaN,121,0,2.680,-1.312,1129.000,198.000,1147.000,251.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
62,42,5372.000,25.579,-2.908,0.006,-0.003,0.735,0.646,122,0,1.893,0.436,753.000,192.000,786.000,280.000,25.590,-2.870,-1.100,0.830,0.670,1.780,-1.185
63,102,5372.000,38.630,-15.068,0.025,0.017,0.764,NaN,122,0,2.844,-1.311,1128.000,198.000,1146.000,250.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
64,42,5373.000,25.586,-2.911,0.008,-0.003,0.739,NaN,123,0,2.907,-1.315,754.000,192.000,791.000,279.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
65,102,5373.000,38.700,-15.049,0.032,0.021,0.741,NaN,123,0,2.522,-1.310,1125.000,198.000,1144.000,251.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
66,42,5374.000,25.557,-2.877,-0.002,0.006,0.710,0.964,124,0,1.516,4.938,754.000,192.000,792.000,280.000,25.540,-2.830,-1.120,0.920,0.490,1.760,-1.176
67,102,5374.000,38.735,-15.014,0.037,0.023,0.717,NaN,124,0,2.206,-1.310,1125.000,198.000,1142.000,250.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
68,42,5375.000,25.566,-2.849,0.001,0.011,0.714,0.952,125,0,1.516,4.938,754.000,192.000,791.000,280.000,25.580,-2.820,-1.110,0.830,0.550,1.750,-0.222
