,ID,timestamp,x,y,vx,vy,rgb_conf,lidar_conf,t_index,YOLO_cls,rgb_LLR,lidar_LLR,L,T,R,B,X_LiDAR,Y_LiDAR,Z_LiDAR,l,w,h,rot
0,6,751.000,25.100,-3.750,0.000,0.000,0.721,0.893,1,0,1.934,2.780,812.000,198.000,850.000,289.000,25.100,-3.750,-1.120,0.840,0.530,1.630,-0.595
1,7,751.000,24.000,-4.570,0.000,0.000,0.719,0.892,1,0,2.207,2.690,867.000,190.000,897.000,263.000,24.000,-4.570,-1.090,0.730,0.710,1.830,-1.539
2,8,751.000,26.220,-2.740,0.000,0.000,0.600,0.005,1,0,0.607,-1.442,746.000,203.000,785.000,263.000,26.220,-2.740,-1.320,0.830,0.650,1.770,0.226
3,6,752.000,25.109,-3.769,-0.002,-0.011,0.750,0.992,2,0,2.266,3.500,812.000,198.000,850.000,289.000,25.120,-3.780,-1.180,0.730,0.740,1.590,0.098
4,7,752.000,24.007,-4.557,0.004,0.000,0.721,0.891,2,0,2.207,2.690,868.000,190.000,898.000,263.000,24.020,-4.550,-1.210,0.740,0.630,1.790,-0.782
5,8,752.000,26.171,-2.756,-0.020,0.002,0.591,0.007,2,0,0.553,-1.436,746.000,203.000,785.000,263.000,26.160,-2.770,-1.300,0.940,0.570,1.840,-0.643
6,6,753.000,25.077,-3.894,-0.019,-0.064,0.710,NaN,3,0,2.462,-1.320,812.000,198.000,850.000,287.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,7,753.000,23.977,-4.668,-0.012,-0.045,0.590,NaN,3,0,0.941,-1.305,867.000,190.000,898.000,264.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,8,753.000,26.154,-2.799,-0.020,-0.021,0.617,NaN,3,0,0.986,-1.248,746.000,203.000,784.000,262.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,6,754.000,25.075,-3.865,-0.019,-0.028,0.719,0.890,4,0,1.934,2.780,812.000,198.000,850.000,287.000,25.100,-3.790,-1.160,0.810,0.470,1.750,-0.092
10,7,754.000,23.979,-4.642,-0.009,-0.011,0.708,0.911,4,0,2.049,2.843,865.000,190.000,898.000,264.000,23.990,-4.570,-1.100,0.710,0.650,1.750,-0.291
11,8,754.000,26.211,-2.799,0.007,-0.010,0.623,0.002,4,0,0.705,-1.485,746.000,203.000,784.000,261.000,26.240,-2.790,-1.550,0.820,0.670,1.800,0.803
12,6,755.000,25.051,-3.811,-0.022,-0.002,0.738,0.848,5,0,2.178,1.832,812.000,198.000,850.000,288.000,25.060,-3.750,-1.300,0.790,0.620,1.800,1.821
13,7,755.000,23.955,-4.605,-0.012,0.006,0.724,0.997,5,0,2.207,2.843,866.000,190.000,898.000,264.000,23.950,-4.570,-1.240,0.680,0.660,1.710,0.029
14,8,755.000,26.242,-2.765,0.016,0.004,0.599,0.014,5,0,0.607,-1.463,746.000,203.000,786.000,262.000,26.270,-2.690,-1.470,1.720,0.530,1.830,-0.487
15,6,756.000,25.007,-3.888,-0.028,-0.023,0.709,NaN,6,0,2.462,-1.321,812.000,198.000,850.000,287.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,7,756.000,23.926,-4.657,-0.018,-0.010,0.755,NaN,6,0,3.077,-1.304,866.000,190.000,898.000,264.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,8,756.000,26.253,-2.798,0.016,-0.007,0.667,NaN,6,0,1.488,-1.235,746.000,203.000,784.000,261.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,6,757.000,25.048,-3.872,-0.015,-0.015,0.678,0.994,7,0,1.371,3.500,812.000,198.000,847.000,288.000,25.080,-3.820,-1.260,0.700,0.750,1.550,-0.393
19,7,757.000,23.992,-4.623,0.001,0.001,0.799,0.965,7,0,3.099,2.843,866.000,190.000,897.000,264.000,24.060,-4.580,-1.100,0.690,0.690,1.780,-0.898
20,8,757.000,26.269,-2.821,0.016,-0.011,0.629,NaN,7,0,1.083,-1.243,746.000,203.000,784.000,261.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,47,757.000,28.890,-12.100,0.000,0.000,0.665,0.188,7,0,0.314,-1.077,1164.000,198.000,1186.000,276.000,28.890,-12.100,-1.320,0.870,0.640,1.770,-0.926
22,6,758.000,25.040,-3.852,-0.015,-0.008,0.682,0.857,8,0,1.371,1.981,812.000,198.000,846.000,287.000,25.050,-3.790,-1.180,0.790,0.580,1.670,0.041
23,7,758.000,24.062,-4.635,0.015,-0.003,0.804,0.304,8,0,3.099,-0.346,866.000,191.000,898.000,264.000,24.150,-4.660,-1.130,0.800,0.600,1.830,-0.700
24,8,758.000,26.245,-2.832,0.006,-0.011,0.578,0.005,8,0,0.497,-1.472,746.000,203.000,786.000,262.000,26.220,-2.830,-1.260,0.840,0.680,1.790,-0.590
25,47,758.000,28.935,-12.102,0.013,-0.011,0.658,0.171,8,0,0.244,-1.136,1164.000,199.000,1186.000,276.000,28.960,-12.100,-1.200,0.840,0.560,1.830,1.845
26,6,759.000,25.022,-3.884,-0.016,-0.014,0.692,NaN,9,0,2.173,-1.321,812.000,198.000,846.000,288.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,7,759.000,24.072,-4.690,0.014,-0.015,0.829,NaN,9,0,4.351,-1.304,866.000,192.000,899.000,264.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,8,759.000,26.255,-2.844,0.006,-0.011,0.562,NaN,9,0,0.499,-1.251,746.000,203.000,784.000,261.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,47,759.000,28.936,-12.129,0.020,-0.015,0.762,NaN,9,0,3.077,-1.325,1164.000,198.000,1187.000,276.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,6,760.000,25.025,-3.852,-0.011,-0.002,0.649,0.757,10,0,1.116,1.172,812.000,198.000,843.000,291.000,25.040,-3.770,-1.230,0.810,0.520,1.750,-0.858
31,7,760.000,24.125,-4.696,0.022,-0.012,0.714,0.034,10,0,2.049,-1.374,867.000,192.000,900.000,266.000,24.170,-4.680,-1.220,0.740,0.580,1.860,-0.647
32,8,760.000,26.315,-2.924,0.017,-0.023,0.515,0.002,10,0,0.126,-1.481,746.000,203.000,790.000,262.000,26.340,-3.020,-1.510,1.770,0.590,1.750,-0.792
33,47,760.000,28.956,-12.127,0.012,-0.007,0.653,0.138,10,0,0.178,-1.226,1164.000,199.000,1187.000,273.000,28.980,-12.110,-1.270,0.790,0.540,1.820,1.873
34,6,761.000,25.021,-3.826,-0.007,0.005,0.660,0.550,11,0,1.190,0.276,812.000,198.000,844.000,291.000,25.020,-3.790,-1.280,0.460,0.410,1.660,1.837
35,7,761.000,24.132,-4.707,0.018,-0.013,0.727,0.998,11,0,2.350,2.843,868.000,192.000,900.000,265.000,24.110,-4.680,-1.190,0.690,0.770,1.600,0.132
36,8,761.000,26.264,-2.908,0.001,-0.015,0.273,0.035,11,0,-1.111,-1.453,745.000,203.000,794.000,265.000,26.190,-2.870,-1.390,1.010,0.620,1.770,-0.741
37,47,761.000,28.965,-12.152,0.009,-0.014,0.694,NaN,11,0,1.982,-1.325,1164.000,198.000,1187.000,274.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,6,762.000,25.008,-3.860,-0.009,-0.004,0.649,NaN,12,0,1.698,-1.321,812.000,198.000,844.000,289.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39,7,762.000,24.140,-4.766,0.016,-0.024,0.633,NaN,12,0,1.305,-1.306,869.000,192.000,902.000,266.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,8,762.000,26.263,-2.924,0.000,-0.015,0.218,NaN,12,0,-1.317,-1.276,745.000,203.000,794.000,262.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41,47,762.000,28.973,-12.167,0.010,-0.016,0.734,NaN,12,0,2.590,-1.325,1165.000,200.000,1187.000,275.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42,6,763.000,25.047,-3.837,0.004,0.004,0.642,0.999,13,0,1.051,3.500,812.000,199.000,846.000,288.000,25.080,-3.780,-1.170,0.810,0.620,1.660,0.144
43,7,763.000,24.139,-4.780,0.012,-0.021,0.743,0.998,13,0,2.467,2.843,869.000,193.000,904.000,280.000,24.130,-4.750,-1.090,0.870,0.570,1.660,-0.105
44,8,763.000,26.279,-2.821,0.005,0.011,0.478,0.004,13,0,-0.125,-1.509,746.000,203.000,783.000,262.000,26.300,-2.630,-1.460,0.820,0.560,1.730,0.907
45,47,763.000,28.943,-12.159,0.004,-0.014,0.692,0.340,13,0,0.497,-0.730,1165.000,201.000,1186.000,275.000,28.940,-12.110,-1.200,0.820,0.490,1.680,1.957
46,6,764.000,25.075,-3.822,0.011,0.006,0.650,0.999,14,0,1.116,3.500,812.000,199.000,848.000,289.000,25.090,-3.790,-1.200,0.720,0.610,1.520,-0.061
47,7,764.000,24.194,-4.824,0.021,-0.029,0.784,0.757,14,0,2.841,1.324,870.000,194.000,906.000,281.000,24.250,-4.850,-1.190,0.740,0.610,1.610,-0.421
48,8,764.000,26.215,-2.759,-0.010,0.023,0.556,0.009,14,0,0.385,-1.465,746.000,203.000,787.000,263.000,26.150,-2.650,-1.350,0.820,0.580,1.890,1.942
49,47,764.000,28.922,-12.193,0.001,-0.023,0.671,0.039,14,0,0.314,-1.667,1165.000,201.000,1186.000,275.000,28.910,-12.230,-1.240,0.770,0.640,1.850,2.005
50,6,765.000,25.083,-3.868,0.010,-0.006,0.671,NaN,15,0,1.916,-1.321,812.000,199.000,848.000,289.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,7,765.000,24.210,-4.887,0.021,-0.037,0.703,NaN,15,0,2.315,-1.310,874.000,195.000,909.000,289.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,8,765.000,26.200,-2.771,-0.011,0.014,0.534,NaN,15,0,0.251,-1.232,746.000,203.000,785.000,262.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,47,765.000,28.928,-12.169,0.006,-0.009,0.721,NaN,15,0,2.434,-1.326,1165.000,200.000,1187.000,274.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
